label,config,routing,requests,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,total_energy_kwh,joules_per_token,wall_ms
tp4x2-ROUND_ROBIN-r20-s44,tp4x2,ROUND_ROBIN,3000,44,3000,71.6976,150.7105,0.029952,0.047327,84.1626,0.0893,0.022801,0.0923,447
tp4x2-ROUND_ROBIN-r20-s42,tp4x2,ROUND_ROBIN,3000,42,3000,72.2007,153.3921,0.029890,0.047048,84.8878,0.0880,0.023215,0.0923,469
tp4x2-ROUND_ROBIN-r20-s48,tp4x2,ROUND_ROBIN,3000,48,3000,65.6098,150.2996,0.029034,0.047753,77.9131,0.0773,0.024669,0.0993,435
tp4x2-ROUND_ROBIN-r20-s47,tp4x2,ROUND_ROBIN,3000,47,3000,65.8666,140.5445,0.029249,0.044501,78.2399,0.0870,0.024139,0.0976,437
tp4x2-ROUND_ROBIN-r20-s49,tp4x2,ROUND_ROBIN,3000,49,3000,72.6658,153.8739,0.030336,0.048397,85.6277,0.0887,0.024109,0.0955,436
tp4x2-ROUND_ROBIN-r20-s46,tp4x2,ROUND_ROBIN,3000,46,3000,62.1825,138.3455,0.028738,0.044746,74.3063,0.0793,0.024684,0.1001,458
tp4x2-ROUND_ROBIN-r20-s50,tp4x2,ROUND_ROBIN,3000,50,3000,69.1521,157.6383,0.029784,0.048605,81.6194,0.0883,0.024450,0.0998,434
tp4x2-ROUND_ROBIN-r20-s51,tp4x2,ROUND_ROBIN,3000,51,3000,69.4336,163.5051,0.029668,0.049611,82.0814,0.0963,0.025097,0.0993,454
tp4x2-ROUND_ROBIN-r20-s52,tp4x2,ROUND_ROBIN,3000,52,3000,70.7159,153.8264,0.029977,0.049062,83.3908,0.0880,0.024249,0.0970,454
tp4x2-ROUND_ROBIN-r20-s53,tp4x2,ROUND_ROBIN,3000,53,3000,67.1395,142.8915,0.029455,0.047540,79.5786,0.0810,0.023948,0.0967,456
tp4x2-ROUND_ROBIN-r20-s55,tp4x2,ROUND_ROBIN,3000,55,3000,65.9140,141.5973,0.028975,0.043211,78.0830,0.0830,0.023607,0.0952,432
tp4x2-ROUND_ROBIN-r20-s54,tp4x2,ROUND_ROBIN,3000,54,3000,67.2887,148.2197,0.029422,0.046197,79.6447,0.0870,0.024054,0.0973,439
tp4x2-ROUND_ROBIN-r20-s56,tp4x2,ROUND_ROBIN,3000,56,3000,55.2627,117.6294,0.027797,0.040557,66.9542,0.0940,0.025099,0.1031,434
tp4x2-ROUND_ROBIN-r20-s57,tp4x2,ROUND_ROBIN,3000,57,3000,66.8760,138.1157,0.029026,0.044307,79.1458,0.0900,0.023275,0.0930,459
tp4x2-ROUND_ROBIN-r20-s59,tp4x2,ROUND_ROBIN,3000,59,3000,62.1499,137.6105,0.028692,0.044791,74.2392,0.0903,0.024474,0.0986,427
tp4x2-ROUND_ROBIN-r20-s58,tp4x2,ROUND_ROBIN,3000,58,3000,67.7269,142.0098,0.029305,0.044769,80.0374,0.0803,0.023386,0.0947,459
